epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,25000,107,1.2803738317757005,0.0,5.0,1,0,0,0,0,0,32.91,32.91,759.6475235490733
1,train,125000,544,1.2297794117647065,0.0,5.0,0.8875009,125000,125000,0.023108,0.0026293619886814377,31242,1018.8599999999999,985.9499999999999,126.78127694102136
1,test,62500,310,0.8483870967741933,0.0,7.0,0.05,125000,125000,0.023108,0,31242,1448.99,430.1,145.31504301325273
2,train,125000,518,1.445945945945944,0.0,8.0,0.7750009,250000,250000,0.0428468,0.0013816445913550307,62492,2748.23,1299.2199999999998,96.21157309770479
2,test,62500,294,1.0476190476190481,0.0,7.0,0.05,250000,250000,0.0428468,0,62492,3176.61,428.3600000000001,145.90531328788865
3,train,125000,499,1.6152304609218433,0.0,8.0,0.6625009,375000,375000,0.0736557,0.00098135412824734919,93742,4539.34,1362.7199999999998,91.72830808970296
3,test,62500,311,0.8231511254019289,0.0,5.0,0.05,375000,375000,0.0736557,0,93742,4962.150000000001,422.78000000000065,147.83102322721015
4,train,125000,497,1.6539235412474844,0.0,9.0,0.5500008999999999,500000,500000,0.114427,0.00076596400491266809,124992,6456.92,1494.7600000000002,83.62546495758515
4,test,62500,265,1.9660377358490575,0.0,4.0,0.05,500000,500000,0.114427,0,124992,6901.12,444.1700000000001,140.71188959182294
5,train,125000,504,1.5515873015873012,0.0,7.0,0.43750089999999997,625000,625000,0.161364,0.0006326107974403615,156242,8475.929999999998,1574.789999999999,79.37566278678432
5,test,62500,229,2.227074235807861,0.0,4.0,0.05,625000,625000,0.161364,0,156242,8920.679999999998,444.71999999999935,140.5378665227561
6,train,125000,498,1.5903614457831325,0.0,7.0,0.32500090000000004,750000,750000,0.197826,0.00053051738264655874,187492,10530.23,1609.550000000001,77.66145817153857
6,test,62500,263,1.996197718631178,0.0,7.0,0.05,750000,750000,0.197826,0,187492,10929.099999999999,398.84999999999854,156.70051397768643
7,train,125000,483,1.6728778467908916,0.0,6.0,0.2125009,875000,875000,0.270999,0.00046872139695332472,218742,12625.05,1695.9400000000005,73.70543769237118
7,test,62500,126,2.2698412698412684,0.0,5.0,0.05,875000,875000,0.270999,0,218742,12996.98,371.90999999999985,168.0514102874352
8,train,125000,476,1.6470588235294104,0.0,7.0,0.10000090000000006,1000000,1000000,0.351199,0.00041800041055993975,249992,14777.289999999999,1780.2999999999993,70.21288546874125
8,test,62500,146,1.2123287671232874,0.0,6.0,0.05,1000000,1000000,0.351199,0,249992,15193.56,416.2399999999998,150.15375744762645
9,train,125000,463,1.5961123110151187,0.0,10.0,0.1,1125000,1000000,0.409175,0.00038623260778968953,281242,17091.41,1897.8400000000001,65.86435105172195
9,test,62500,131,2.2977099236641205,0.0,9.0,0.05,1125000,1000000,0.409175,0,281242,17513.8,422.369999999999,147.974524705827
10,train,125000,457,1.6630196936542667,0.0,7.0,0.1,1250000,1000000,0.443278,0.00035174483683002571,312492,19388.29,1874.4900000000016,66.68480493360855
10,test,62500,139,2.050359712230215,0.0,9.0,0.05,1250000,1000000,0.443278,0,312492,19807.39,419.0699999999997,149.13976185362839
11,train,125000,452,1.7212389380530972,0.0,8.0,0.1,1375000,1000000,0.477222,0.00032818465345805934,343742,21688.59,1881.2000000000007,66.44694875611309
11,test,62500,147,1.333333333333333,0.0,7.0,0.05,1375000,1000000,0.477222,0,343742,22130.19,441.5799999999981,141.5372073010559
12,train,125000,468,1.5769230769230766,0.0,8.0,0.1,1500000,1000000,0.569736,0.00030103591761719475,374992,24014.17,1883.9799999999996,66.3488996698479
12,test,62500,305,0.9114754098360662,0.0,7.0,0.05,1500000,1000000,0.569736,0,374992,24430.14,415.9399999999987,150.26205702745636
13,train,125000,459,1.6688453159041394,0.0,9.0,0.1,1625000,1000000,0.628239,0.00027055264689671937,406242,26205.5,1775.3600000000006,70.40825522710884
13,test,62500,149,1.2617449664429536,0.0,7.0,0.05,1625000,1000000,0.628239,0,406242,26660.829999999998,455.27999999999884,137.27815849587103
14,train,125000,471,1.5774946921443733,0.0,7.0,0.1,1750000,1000000,0.632894,0.00019833156150311153,437492,28515.3,1854.4700000000012,67.40470323057258
14,test,62500,144,1.2013888888888893,0.0,8.0,0.05,1750000,1000000,0.632894,0,437492,28984.92,469.59000000000015,133.09482740262777
15,train,125000,471,1.5647558386411886,0.0,7.0,0.1,1875000,1000000,0.569211,0.00014080611782037912,468742,30774.61,1789.6800000000003,69.84488847168208
15,test,62500,152,1.361842105263158,0.0,7.0,0.05,1875000,1000000,0.569211,0,468742,31207.25,432.619999999999,144.4685867504973
16,train,125000,458,1.7161572052401737,0.0,7.0,0.1,2000000,1000000,0.576729,0.00011458353156601151,499992,33046.05,1838.7900000000009,67.97948651015066
16,test,62500,170,1.5294117647058827,0.0,7.0,0.05,2000000,1000000,0.576729,0,499992,33516.04,469.9499999999971,132.99287158208404
17,train,125000,468,1.649572649572649,0.0,7.0,0.1,2125000,1000000,0.620658,9.8073051132835211e-05,531242,35312.19,1796.1500000000015,69.5932967736547
17,test,62500,133,1.9999999999999996,0.0,9.0,0.05,2125000,1000000,0.620658,0,531242,35743.15,430.9300000000003,145.03515652194082
18,train,125000,477,1.6331236897274632,0.0,8.0,0.1,2250000,1000000,0.600547,8.762344482821056e-05,562492,37491.69,1748.5400000000009,71.48821302343666
18,test,62500,206,2.776699029126212,0.0,11.0,0.05,2250000,1000000,0.600547,0,562492,37926.12,434.40000000000146,143.8766114180474
19,train,125000,461,1.8546637744034702,0.0,6.0,0.1,2375000,1000000,0.557477,7.894610294321229e-05,593742,39668.770000000004,1742.6500000000015,71.72983674289151
19,test,62500,232,2.1853448275862077,0.0,3.0,0.05,2375000,1000000,0.557477,0,593742,40103.520000000004,434.72000000000116,143.7707029812289
20,train,125000,474,1.79746835443038,0.0,9.0,0.1,2500000,1000000,0.647388,7.0503626287774353e-05,624992,41846.270000000004,1742.75,71.72572084349447
20,test,62500,228,2.2412280701754392,2.0,5.0,0.05,2500000,1000000,0.647388,0,624992,42282.07,435.7699999999968,143.42428345228092
